Participant,Evidence rows,Interview date,Device
P001,93,2026-06-09,Ray-Ban Meta (gen 1)
P002,80,2026-06-18,Ray-Ban Meta
P003,77,2026-06-19,"Ray-Ban Meta (gen 2, received day before interview)"
P004,110,2026-06-22,"Ray-Ban Meta (gen 2, prescription + transitions)"
P005,108,2026-06-23,"Ray-Ban Meta (Black Friday purchase, generation not stated)"
P006,99,2026-06-23,"Ray-Ban Meta, transitions lenses"
P007,98,2026-06-23,"Ray-Ban Meta Wayfarer, no display, generation uncertain"
P008,125,2026-06-24,"Ray-Ban Meta (gen 2, transitions)"
P009,212,2026-06-24,"Ray-Ban Meta, generation not stated (2 to 3 hour runtime suggests gen 1)"
P010,93,2026-06-24,"Ray-Ban Meta (gen 2, tinted, no prescription)"
P011,164,2026-06-26,"EchoVision by AGIGA (blind-market device, not Meta)"
P012,153,2026-06-29,"Ray-Ban Meta, generation not stated"
P013,140,2026-06-30,"Ray-Ban Meta, non-prescription blue blocker with polycarbonate lenses"
P014,188,2026-07-06,"Ray-Ban Meta (bought on sale July 2025, generation not stated)"
P015,109,2026-07-20,Ray-Ban Meta Wayfarer (generation not stated)
P016,156,2026-07-21,"Ray-Ban Meta gen 1, plus a second identical pair"
P017,141,2026-07-23,"Ray-Ban Meta (bought August 2025, generation not stated)"
